61,4	1,2675	511	NAN	
61,5	1,2675	511	NAN	
61,6	1,2705	512	NAN	
61,7	1,269	512	NAN	
61,8	1,272	512,5	NAN	
61,9	1,2765	514	NAN	
62	1,2795	515	NAN	
62,1	1,2795	515,5	NAN	
62,2	1,278	516	NAN	
62,3	1,2795	516	NAN	
62,4	1,281	516	NAN	
62,5	1,281	516	NAN	
62,6	1,281	516,5	NAN	
62,7	1,2855	517	NAN	
62,8	1,284	517,5	NAN	
62,9	1,2885	518	NAN	
63	1,2915	519	NAN	
63,1	1,293	520,5	NAN	
63,2	1,3005	522	NAN	
63,3	1,3035	523	NAN	
63,4	1,302	523,5	NAN	
63,5	1,3035	524	NAN	
63,6	1,302	524	NAN	
63,7	1,305	524	NAN	
63,8	1,308	525,5	NAN	
63,9	1,3125	526,5	NAN	
64	1,32	528,5	NAN	
64,1	1,326	531	NAN	
64,2	1,3305	532,5	NAN	
64,3	1,3305	533	NAN	
64,4	1,329	533,5	NAN	
64,5	1,329	533	NAN	
64,6	1,326	533	NAN	
64,7	1,3275	533	NAN	
64,8	1,329	533	NAN	
64,9	1,329	533	NAN	
65	1,329	533	NAN	
65,1	1,332	534	NAN	
65,2	1,341	536	NAN	
65,3	1,362	541,5	NAN	
65,4	1,389	549,5	NAN	
65,5	1,419	559	NAN	
65,6	1,4415	567,5	NAN	
65,7	1,455	572,5	NAN	
65,8	1,4655	576,5	NAN	
65,9	1,467	579	NAN	
66	1,473	580	NAN	
66,1	1,4775	582	NAN	
66,2	1,4805	583	NAN	
66,3	1,482	584	NAN	
66,4	1,4805	584	NAN	
66,5	1,4805	584	NAN	
66,6	1,4805	584	NAN	
66,7	1,482	584,5	NAN	
66,8	1,4835	585	NAN	
66,9	1,4865	586	NAN	
67	1,4925	587	NAN	
67,1	1,503	590	NAN	
67,2	1,5135	593	NAN	
67,3	1,518	595,5	NAN	
67,4	1,53	598	NAN	
67,5	1,533	600	NAN	
67,6	1,5345	601,5	NAN	
67,7	1,5405	603	NAN	
67,8	1,542	604	NAN	
67,9	1,545	604,5	NAN	
68	1,5495	606	NAN	
68,1	1,5555	607,5	NAN	
68,2	1,5585	608,5	NAN	
68,3	1,56	610	NAN	
68,4	1,5615	610	NAN	
68,5	1,5615	610	NAN	
68,6	1,5735	613	NAN	
68,7	1,5795	614,5	NAN	
68,8	1,5855	617	NAN	
68,9	1,5915	619	NAN	
69	1,596	620,5	NAN	
69,1	1,5975	621,5	NAN	
69,2	1,5975	622,5	NAN	
69,3	1,599	623	NAN	
69,4	1,6005	623	NAN	
69,5	1,599	623	NAN	
69,6	1,6005	623	NAN	
69,7	1,6035	623,5	NAN	
69,8	1,6095	625	NAN	
69,9	1,6125	626	NAN	
70	1,614	627	NAN	
70,1	1,617	628	NAN	
70,2	1,623	629	NAN	
70,3	1,626	630,5	NAN	
70,4	1,629	631,5	NAN	
70,5	1,6335	632,5	NAN	
70,6	1,632	633,5	NAN	
70,7	1,635	633,5	NAN	
70,8	1,635	634	NAN	
70,9	1,635	634	NAN	
71	1,6365	634	NAN	
71,1	1,6395	635	NAN	
71,2	1,6455	636	NAN	
71,3	1,647	637,5	NAN	
71,4	1,647	637,5	NAN	
71,5	1,647	637,5	NAN	
71,6	1,65	638,5	NAN	
71,7	1,6515	638,5	NAN	
71,8	1,6545	639,5	NAN	
71,9	1,656	640,5	NAN	
72	1,6605	641	NAN	
72,1	1,6605	641,5	NAN	
72,2	1,662	642,5	NAN	
72,3	1,6635	642,5	NAN	
72,4	1,665	643	NAN	
72,5	1,665	643	NAN	
72,6	1,668	644	NAN	
72,7	1,6725	645	NAN	
72,8	1,6755	646	NAN	
72,9	1,677	646,5	NAN	
73	1,68	647,5	NAN	
73,1	1,683	648,5	NAN	
73,2	1,6845	649	NAN	
73,3	1,6875	650	NAN	
73,4	1,686	650	NAN	
73,5	1,689	651	NAN	
73,6	1,692	651,5	NAN	
73,7	1,692	652	NAN	
73,8	1,695	652	NAN	
73,9	1,6965	652,5	NAN	
74	1,6995	653	NAN	
74,1	1,6995	654	NAN	
74,2	1,701	654,5	NAN	
74,3	1,7025	655	NAN	
74,4	1,7025	655	NAN	
74,5	1,704	655	NAN	
74,6	1,7055	655,5	NAN	
74,7	1,7085	656	NAN	
74,8	1,7145	657,5	NAN	
74,9	1,7145	658,5	NAN	
75	1,716	659	NAN	
75,1	1,719	659,5	NAN	
75,2	1,7205	660,5	NAN	
75,3	1,7235	661	NAN	
75,4	1,725	661,5	NAN	
75,5	1,7265	662	NAN	
75,6	1,728	662,5	NAN	
75,7	1,7295	663,5	NAN	
75,8	1,737	664,5	NAN	
75,9	1,7385	665,5	NAN	
76	1,7415	666,5	NAN	
76,1	1,743	667	NAN	
76,2	1,746	668	NAN	
76,3	1,7505	669	NAN	
76,4	1,7535	670	NAN	
76,5	1,7565	671	NAN	
76,6	1,7565	671,5	NAN	
76,7	1,761	672,5	NAN	
76,8	1,761	673	NAN	
76,9	1,7625	673,5	NAN	
77	1,7655	674	NAN	
